ＩＤ,基本的にすべての人に親切にするように心がけている,物事を時間通りに終わらせるようにペースを作るのがかなり得意だ,人と話をするのはとても楽しい,私は心配性ではない,空想にふけって時間を無駄に使うのは嫌だ,他人と競争するよりはむしろ協力したい,私はあまり几帳面ではない,私はあまり陽気ではない,緊張したりびくびくしたりすることが多い,環境に応じて変化する、自分の気分や気持ちには気が付かない,苦手な人に対しては、つい態度に出てしまうことがある,急いでやらなければいけないことがあるのに先延ばしにしてしまうことがある,私は生活のテンポが早い,自分の力ではできないことを、誰か他の人に解決してほしいと思うことがある,私は好奇心が旺盛である,私は情に流されない,自分の目標を達成するためには努力を惜しまない,リーダーになるよりは、我が道を行きたい,悲しくなったり、落ち込んだりすることはない,理論的なことや抽象的な考えにふけって楽しむことがよくある
m899899794,2,3,2,3,3,3,3,4,2,3,3,4,3,2,2,4,3,3,3,3
m8992932997,2,1,1,4,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,2
m8998332213,3,3,5,5,3,3,3,1,3,3,1,3,4,1,4,2,2,1,5,4
m8961823265,3,3,2,4,3,3,3,4,4,3,4,2,2,3,3,3,2,3,3,2
m8998501098,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2
m899088483,2,3,3,4,2,2,3,3,3,3,2,3,3,2,2,3,2,2,4,4
m8998274261,2,3,3,2,3,2,2,3,3,3,4,1,3,2,2,3,4,2,3,4
m8995075024,5,2,3,2,3,3,4,3,4,3,2,3,5,2,2,1,3,2,3,3
m899719123,2,3,3,2,2,2,3,3,4,3,3,2,3,3,4,2,2,2,3,3
m8995190667,3,2,1,4,1,2,2,3,4,2,1,2,2,1,2,3,1,5,4,3
m8998399589,3,4,2,2,3,4,4,3,3,3,4,4,4,2,2,3,3,3,2,3
m899631889,2,4,2,4,4,4,2,3,3,3,4,2,4,3,1,3,2,1,4,4
m8998414259,3,3,4,2,3,3,3,2,4,3,4,3,3,3,3,3,3,2,4,5
m8992568828,2,3,2,3,4,2,4,3,3,4,2,3,3,3,3,4,3,2,4,3
m8998383820,2,1,1,3,3,2,3,3,3,3,4,2,2,3,2,4,2,3,4,3
m896890429,1,2,1,3,3,1,2,5,4,3,2,2,3,2,1,3,2,3,3,3
m8998526052,1,2,1,2,5,1,4,5,4,3,3,2,4,2,5,2,2,1,4,2
m8998589102,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
m8964140166,2,2,2,3,3,2,3,3,3,4,2,4,2,3,2,3,2,2,4,2
m899819759,3,3,3,4,2,2,2,3,3,3,3,3,2,3,3,4,3,3,4,4
m899421994,2,2,1,2,2,3,4,2,4,2,3,4,2,3,2,2,2,4,3,2
m8984359823,2,1,2,2,1,2,2,1,2,2,1,2,4,2,1,2,2,4,4,4
m8996519670,2,3,5,5,3,3,5,1,1,3,3,4,2,3,4,3,3,4,5,5
m8984636112,1,4,2,1,4,1,3,4,4,5,4,2,3,2,1,4,2,2,4,4
m8995548178,2,3,3,2,2,2,4,4,3,4,3,4,4,3,3,2,1,1,3,2
m8998324073,4,3,2,4,3,2,2,3,2,4,2,2,4,2,3,3,3,2,4,3
m8965635518,2,2,3,3,3,3,5,3,3,3,2,3,3,2,3,2,3,3,4,3
m899295317,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
m899016922,2,3,2,2,2,1,3,4,3,2,2,4,2,2,2,3,2,4,3,3
m8966010745,2,3,2,3,3,2,2,4,5,5,3,2,4,5,2,2,2,2,2,3
m8981627643,2,2,3,4,4,2,5,4,4,3,4,4,4,3,3,4,3,2,4,2
m8985814306,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3
m89923252,1,1,1,4,4,1,5,5,1,1,1,5,1,1,1,2,1,2,2,5
m8998646380,2,3,2,3,3,1,3,4,3,3,3,2,3,1,2,3,5,1,3,3
m899363044,4,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5
m8993872228,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3
m8965531056,2,3,3,4,4,2,3,2,2,3,4,4,5,5,2,4,2,2,3,3
m898369975,1,2,2,4,4,1,3,3,3,4,4,4,3,3,2,4,2,3,4,3
m8965462208,3,3,3,1,2,2,2,2,5,3,3,2,4,3,4,2,2,3,3,3
m8998581338,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
m8994604176,1,2,2,4,3,2,4,1,2,3,2,2,3,2,3,2,2,2,3,2
m8998307003,3,3,4,5,3,2,4,1,1,3,3,2,3,2,3,3,3,2,5,3
m8998440753,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2
m8962170486,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,3
m8992658962,2,1,3,4,4,2,3,3,3,2,2,4,4,2,1,2,2,3,4,2
m8998225645,3,4,5,5,4,4,2,1,1,3,2,2,4,2,4,3,4,2,5,4
m8964742783,4,4,4,5,3,2,2,2,2,3,2,1,5,1,4,5,4,1,5,4
m899765193,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,4,3
m8998374526,3,3,3,4,4,4,5,4,3,3,3,5,3,3,3,3,3,2,3,3
m899521151,2,3,3,4,4,3,3,3,2,3,3,3,4,3,2,4,3,1,4,4
m8998864255,3,2,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3
m8982180074,2,2,2,3,2,2,2,5,5,4,4,4,2,2,2,4,2,4,3,2
m8998583810,3,3,4,4,2,2,2,2,2,4,4,2,5,2,5,3,3,3,4,4
m8998349816,4,4,4,4,4,3,3,2,2,2,4,2,3,1,3,3,5,1,5,4
m8998715518,1,2,1,1,2,1,3,5,5,4,4,4,3,4,1,3,2,2,4,2
m8998658539,3,3,4,5,3,1,3,1,1,3,2,3,4,2,4,4,3,3,5,3
m8998279789,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,4
m899077973,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
m8998230905,3,2,4,3,4,1,4,4,3,2,3,4,4,2,2,1,2,1,4,4
m8998265191,3,4,3,5,5,2,3,2,3,3,3,3,5,3,3,4,3,2,4,3
m8981993328,1,2,2,2,4,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2
m8998405417,3,3,3,4,4,3,2,2,4,4,3,2,3,1,3,4,4,3,4,4
m8998521006,4,3,3,5,2,3,5,3,3,3,3,4,3,2,3,4,3,2,5,5
m8998444360,1,1,5,5,5,1,1,1,1,1,1,1,5,1,5,5,1,1,5,1
m8998439223,2,3,2,3,4,3,2,3,4,4,4,2,3,3,1,4,3,2,4,2
m8991756946,2,2,2,2,2,2,4,4,4,4,4,4,3,4,2,3,2,2,3,3
m8986795531,3,3,3,3,4,2,3,3,3,4,3,4,3,3,4,4,3,2,4,2
m8983910768,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
m8994683875,1,1,1,3,3,2,5,4,3,3,3,3,3,1,1,3,1,3,3,3
m899068172,2,2,2,2,4,1,3,4,3,3,3,4,3,2,2,3,2,2,1,2
m899768124,2,3,4,1,1,3,3,3,2,4,3,2,3,2,4,3,3,2,4,3
m899173199,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
m899424019,2,4,3,5,2,3,3,2,2,2,2,2,4,1,4,4,4,2,4,3
m8984928660,2,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3
m899845956,2,3,3,2,3,3,3,3,4,3,2,3,3,4,3,3,3,2,3,4
m8991647042,3,3,3,4,4,4,3,3,3,3,2,2,3,3,3,3,3,3,3,3
m8995550052,1,3,2,2,2,1,4,4,4,4,3,4,3,4,2,4,2,3,2,3
m8998266590,3,2,4,3,3,3,3,2,2,4,2,3,4,2,4,4,2,2,4,4
m899212167,3,1,3,5,5,1,1,1,1,2,1,1,4,1,3,5,4,1,1,1
m8996661450,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,4,3,2,3,3
m8998654295,1,2,1,1,1,1,4,5,5,5,5,2,3,5,4,4,2,1,2,5
m899068395,2,3,1,4,3,2,5,5,3,3,2,3,3,3,1,5,2,2,5,3
m8965525530,2,4,3,5,5,5,5,1,3,3,1,1,3,1,1,1,2,1,5,1
m89958162,5,5,5,3,5,4,5,5,5,5,5,3,5,5,5,4,5,5,4,4
m899622805,1,1,1,3,2,3,5,5,5,5,4,3,3,4,2,4,1,5,3,3
m899062289,2,4,3,3,3,2,2,4,3,3,2,3,3,3,3,4,3,3,3,3
m8998263376,2,3,3,5,5,2,3,3,2,3,1,2,3,3,2,3,3,1,5,3
m8985930910,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
m899207610,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3
m8998426183,3,3,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,2,3,3
m8994423307,3,5,5,5,3,3,3,1,2,1,2,2,5,1,3,3,3,3,4,3
m899164344,2,1,3,4,5,2,5,1,2,3,2,4,3,2,1,3,2,4,4,3
m899468959,1,2,3,4,4,1,4,4,5,4,4,4,4,1,1,4,1,2,4,1
m899869048,4,2,2,5,2,4,2,4,5,4,2,4,2,2,3,4,2,3,3,3
m8992493293,1,2,2,2,1,2,5,2,3,3,2,4,3,2,2,3,1,1,4,4
m8993094350,4,3,4,4,3,2,3,2,2,3,2,2,3,2,4,4,4,2,4,3
m8998660717,3,2,2,2,3,2,4,4,3,3,3,2,4,3,3,3,4,2,3,4
m8998796143,2,3,3,2,3,2,1,3,3,3,2,3,4,2,4,3,3,3,4,3
m8998935349,2,3,3,4,3,3,3,2,2,3,2,2,3,3,4,3,4,2,4,2
m8992499704,1,4,2,3,2,2,4,4,4,4,4,5,3,4,3,3,1,3,3,4
m899761092,4,1,3,1,1,3,5,5,5,4,2,4,2,4,2,3,2,2,2,4
m8995571647,2,3,2,2,3,2,2,3,3,3,4,3,4,3,2,3,3,4,4,3
m899151882,2,4,3,2,4,3,2,4,3,2,2,3,4,4,3,2,2,3,4,3
m8998542157,1,2,1,5,2,1,3,3,4,3,1,3,3,3,3,3,3,2,5,3
m8996613166,1,2,2,5,1,1,2,2,4,4,5,3,4,4,3,4,3,3,4,4
m899252217,3,3,4,4,3,3,2,3,4,3,1,3,3,2,2,3,2,1,4,3
m8998511358,1,1,1,4,2,2,4,4,5,3,4,5,4,3,2,4,2,1,4,4
m8995187446,3,2,3,4,3,2,3,3,3,3,3,2,3,3,2,3,2,3,2,2
m8998258641,3,3,2,2,2,2,2,2,5,3,3,3,3,4,3,5,3,3,3,3
m8984673400,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
m8998646942,2,4,4,2,4,2,2,4,4,3,1,2,4,2,2,4,3,4,2,3
m899807721,5,4,3,3,4,4,3,3,4,3,3,3,3,3,4,4,4,4,4,3
m8998782242,4,4,2,4,4,2,2,2,4,3,2,2,4,2,2,4,3,3,4,4
m8994940492,2,3,1,5,3,2,4,3,2,4,2,4,2,3,1,3,2,2,4,3
m8998758761,2,3,2,3,2,3,3,3,3,3,3,4,3,3,2,3,3,3,3,2
m899126295,2,3,3,5,3,2,5,3,3,3,3,4,3,2,3,3,2,2,5,4
m8995590949,2,2,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
m8998603603,3,3,2,3,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3
m899618492,3,3,2,3,4,3,2,4,3,3,3,3,3,3,2,3,3,2,3,3
m899319473,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
m896165573,1,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2
m89900794,5,4,5,3,5,3,1,1,1,3,1,1,3,3,5,3,5,1,3,5
m8998452228,2,3,2,3,3,3,2,2,2,3,3,3,4,4,3,3,2,2,2,3
m8993583560,2,3,2,4,2,2,4,4,4,4,4,4,4,3,3,3,4,3,3,4
m8993812558,3,1,2,4,5,3,5,4,4,5,4,4,3,4,1,2,1,2,3,2
