“ú•t,“Œ‹ž•½‹Ï‹C‰·
2020/10/3,21.7
2020/10/4,22
2020/10/5,21.7
2020/10/6,21
2020/10/7,18.3
2020/10/8,14.7
2020/10/9,14.5
2020/10/10,16
2020/10/11,19.8
2020/10/12,21.5
2020/10/13,22.1
2020/10/14,20.3
2020/10/15,16.8
2020/10/16,16.1
2020/10/17,12.7
2020/10/18,14.3
2020/10/19,13.1
2020/10/20,15.6
2020/10/21,16
2020/10/22,17.4
2020/10/23,16.8
2020/10/24,17.3
2020/10/25,15.5
2020/10/26,16.2
2020/10/27,16.7
2020/10/28,16.6
2020/10/29,17.3
2020/10/30,14.9
2020/10/31,13.8
2020/11/1,14.3
2020/11/2,15.6
2020/11/3,14.8
2020/11/4,13.7
2020/11/5,13.4
2020/11/6,12.8
2020/11/7,15.5
2020/11/8,17.3
2020/11/9,13.5
2020/11/10,11.9
2020/11/11,11.9
2020/11/12,10.2
2020/11/13,13.7
2020/11/14,14.7
2020/11/15,13.4
2020/11/16,14.7
2020/11/17,15.2
2020/11/18,15.8
2020/11/19,19.1
2020/11/20,21.9
2020/11/21,16.6
2020/11/22,15
2020/11/23,15.5
2020/11/24,11.8
2020/11/25,10.5
2020/11/26,12.8
2020/11/27,11.6
2020/11/28,11.8
2020/11/29,10.1
2020/11/30,9.9
